pais,anio,size_emp,size_label,pct,flag
PT,2023,0-9,Micro (0-9),2.42,
SE,2023,0-9,Micro (0-9),,
AT,2023,10-49,Pequenas (10-49),8.94,
BE,2023,10-49,Pequenas (10-49),10.61,
BG,2023,10-49,Pequenas (10-49),2.96,
CY,2023,10-49,Pequenas (10-49),3.74,
CZ,2023,10-49,Pequenas (10-49),4.0,
DE,2023,10-49,Pequenas (10-49),9.68,
DK,2023,10-49,Pequenas (10-49),12.37,
EE,2023,10-49,Pequenas (10-49),4.12,
EL,2023,10-49,Pequenas (10-49),3.54,
ES,2023,10-49,Pequenas (10-49),6.39,
EU27_2020,2023,10-49,Pequenas (10-49),6.41,
FI,2023,10-49,Pequenas (10-49),11.48,
FR,2023,10-49,Pequenas (10-49),4.72,b
HR,2023,10-49,Pequenas (10-49),6.98,
HU,2023,10-49,Pequenas (10-49),2.98,
IE,2023,10-49,Pequenas (10-49),5.27,
IT,2023,10-49,Pequenas (10-49),4.36,
LT,2023,10-49,Pequenas (10-49),3.4,
LU,2023,10-49,Pequenas (10-49),12.26,
LV,2023,10-49,Pequenas (10-49),3.47,
MT,2023,10-49,Pequenas (10-49),10.75,
NL,2023,10-49,Pequenas (10-49),11.75,
PL,2023,10-49,Pequenas (10-49),2.25,
PT,2023,10-49,Pequenas (10-49),5.77,
RO,2023,10-49,Pequenas (10-49),1.07,
SE,2023,10-49,Pequenas (10-49),8.69,b
SI,2023,10-49,Pequenas (10-49),8.88,
SK,2023,10-49,Pequenas (10-49),5.95,
AT,2023,50-249,Medianas (50-249),16.91,
BE,2023,50-249,Medianas (50-249),22.99,
BG,2023,50-249,Medianas (50-249),5.53,
CY,2023,50-249,Medianas (50-249),9.43,
CZ,2023,50-249,Medianas (50-249),9.79,
DE,2023,50-249,Medianas (50-249),16.21,
DK,2023,50-249,Medianas (50-249),22.56,
EE,2023,50-249,Medianas (50-249),8.06,
EL,2023,50-249,Medianas (50-249),5.68,
ES,2023,50-249,Medianas (50-249),19.57,
EU27_2020,2023,50-249,Medianas (50-249),13.07,
FI,2023,50-249,Medianas (50-249),26.4,
FR,2023,50-249,Medianas (50-249),10.16,b
HR,2023,50-249,Medianas (50-249),11.17,
HU,2023,50-249,Medianas (50-249),5.54,
IE,2023,50-249,Medianas (50-249),17.79,
IT,2023,50-249,Medianas (50-249),7.3,
LT,2023,50-249,Medianas (50-249),8.78,
LU,2023,50-249,Medianas (50-249),19.65,
LV,2023,50-249,Medianas (50-249),8.27,
MT,2023,50-249,Medianas (50-249),21.01,
NL,2023,50-249,Medianas (50-249),19.75,
PL,2023,50-249,Medianas (50-249),6.49,
PT,2023,50-249,Medianas (50-249),16.43,
RO,2023,50-249,Medianas (50-249),2.38,
SE,2023,50-249,Medianas (50-249),13.51,b
SI,2023,50-249,Medianas (50-249),16.85,
SK,2023,50-249,Medianas (50-249),8.57,
AT,2023,GE10,>=10 (total),10.79,
BE,2023,GE10,>=10 (total),13.81,
BG,2023,GE10,>=10 (total),3.62,
CY,2023,GE10,>=10 (total),4.67,
CZ,2023,GE10,>=10 (total),5.9,
DE,2023,GE10,>=10 (total),11.55,
DK,2023,GE10,>=10 (total),15.17,
EE,2023,GE10,>=10 (total),5.19,
EL,2023,GE10,>=10 (total),3.98,
ES,2023,GE10,>=10 (total),9.18,
EU27_2020,2023,GE10,>=10 (total),8.06,
FI,2023,GE10,>=10 (total),15.1,
FR,2023,GE10,>=10 (total),5.88,b
HR,2023,GE10,>=10 (total),7.89,
HU,2023,GE10,>=10 (total),3.68,
IE,2023,GE10,>=10 (total),8.01,
IT,2023,GE10,>=10 (total),5.05,
LT,2023,GE10,>=10 (total),4.86,
LU,2023,GE10,>=10 (total),14.45,
LV,2023,GE10,>=10 (total),4.53,
MT,2023,GE10,>=10 (total),13.17,
NL,2023,GE10,>=10 (total),14.1,
PL,2023,GE10,>=10 (total),3.67,
PT,2023,GE10,>=10 (total),7.86,
RO,2023,GE10,>=10 (total),1.51,
SE,2023,GE10,>=10 (total),10.37,b
SI,2023,GE10,>=10 (total),11.37,
SK,2023,GE10,>=10 (total),7.04,
AT,2023,GE250,Grandes (>=250),35.25,
BE,2023,GE250,Grandes (>=250),47.86,
BG,2023,GE250,Grandes (>=250),13.75,
CY,2023,GE250,Grandes (>=250),15.53,
CZ,2023,GE250,Grandes (>=250),28.34,
DE,2023,GE250,Grandes (>=250),35.39,
DK,2023,GE250,Grandes (>=250),51.43,
EE,2023,GE250,Grandes (>=250),23.03,
EL,2023,GE250,Grandes (>=250),13.96,
ES,2023,GE250,Grandes (>=250),39.66,
EU27_2020,2023,GE250,Grandes (>=250),30.48,
FI,2023,GE250,Grandes (>=250),53.33,
FR,2023,GE250,Grandes (>=250),20.94,b
HR,2023,GE250,Grandes (>=250),19.29,
HU,2023,GE250,Grandes (>=250),17.43,
IE,2023,GE250,Grandes (>=250),36.29,
IT,2023,GE250,Grandes (>=250),24.08,
LT,2023,GE250,Grandes (>=250),21.33,
LU,2023,GE250,Grandes (>=250),41.83,
LV,2023,GE250,Grandes (>=250),21.26,
MT,2023,GE250,Grandes (>=250),32.53,
NL,2023,GE250,Grandes (>=250),41.65,
PL,2023,GE250,Grandes (>=250),24.38,
PT,2023,GE250,Grandes (>=250),35.44,
RO,2023,GE250,Grandes (>=250),8.08,
SE,2023,GE250,Grandes (>=250),37.82,b
SI,2023,GE250,Grandes (>=250),53.19,
SK,2023,GE250,Grandes (>=250),21.89,
ES,2024,0-9,Micro (0-9),5.72,
PT,2024,0-9,Micro (0-9),4.03,
SE,2024,0-9,Micro (0-9),10.84,
AT,2024,10-49,Pequenas (10-49),17.83,
BE,2024,10-49,Pequenas (10-49),20.7,
BG,2024,10-49,Pequenas (10-49),5.45,
CY,2024,10-49,Pequenas (10-49),6.3,
CZ,2024,10-49,Pequenas (10-49),8.72,
DE,2024,10-49,Pequenas (10-49),16.92,
DK,2024,10-49,Pequenas (10-49),23.52,
EE,2024,10-49,Pequenas (10-49),12.14,
EL,2024,10-49,Pequenas (10-49),8.2,
ES,2024,10-49,Pequenas (10-49),8.56,
EU27_2020,2024,10-49,Pequenas (10-49),11.21,
FI,2024,10-49,Pequenas (10-49),20.02,
FR,2024,10-49,Pequenas (10-49),8.51,
HR,2024,10-49,Pequenas (10-49),10.51,
HU,2024,10-49,Pequenas (10-49),6.5,
IE,2024,10-49,Pequenas (10-49),11.75,
IT,2024,10-49,Pequenas (10-49),6.89,
LT,2024,10-49,Pequenas (10-49),6.51,
LU,2024,10-49,Pequenas (10-49),21.12,
LV,2024,10-49,Pequenas (10-49),7.24,
MT,2024,10-49,Pequenas (10-49),14.31,
NL,2024,10-49,Pequenas (10-49),19.96,
PL,2024,10-49,Pequenas (10-49),3.93,
PT,2024,10-49,Pequenas (10-49),6.66,
RO,2024,10-49,Pequenas (10-49),2.57,
SE,2024,10-49,Pequenas (10-49),22.05,
SI,2024,10-49,Pequenas (10-49),19.26,
SK,2024,10-49,Pequenas (10-49),8.78,
AT,2024,50-249,Medianas (50-249),29.1,
BE,2024,50-249,Medianas (50-249),35.71,
BG,2024,50-249,Medianas (50-249),9.99,
CY,2024,50-249,Medianas (50-249),14.27,
CZ,2024,50-249,Medianas (50-249),16.91,
DE,2024,50-249,Medianas (50-249),28.22,
DK,2024,50-249,Medianas (50-249),40.92,
EE,2024,50-249,Medianas (50-249),19.34,
EL,2024,50-249,Medianas (50-249),15.91,
ES,2024,50-249,Medianas (50-249),20.54,
EU27_2020,2024,50-249,Medianas (50-249),20.97,
FI,2024,50-249,Medianas (50-249),37.67,
FR,2024,50-249,Medianas (50-249),14.52,
HR,2024,50-249,Medianas (50-249),16.49,
HU,2024,50-249,Medianas (50-249),10.07,
IE,2024,50-249,Medianas (50-249),24.85,
IT,2024,50-249,Medianas (50-249),14.71,
LT,2024,50-249,Medianas (50-249),15.11,
LU,2024,50-249,Medianas (50-249),31.86,
LV,2024,50-249,Medianas (50-249),13.65,
MT,2024,50-249,Medianas (50-249),25.58,
NL,2024,50-249,Medianas (50-249),31.19,
PL,2024,50-249,Medianas (50-249),10.41,
PT,2024,50-249,Medianas (50-249),15.35,
RO,2024,50-249,Medianas (50-249),3.88,
SE,2024,50-249,Medianas (50-249),34.53,
SI,2024,50-249,Medianas (50-249),22.66,
SK,2024,50-249,Medianas (50-249),15.73,
AT,2024,GE10,>=10 (total),20.27,
BE,2024,GE10,>=10 (total),24.71,
BG,2024,GE10,>=10 (total),6.47,
CY,2024,GE10,>=10 (total),7.9,
CZ,2024,GE10,>=10 (total),11.26,
DE,2024,GE10,>=10 (total),19.75,
DK,2024,GE10,>=10 (total),27.58,
EE,2024,GE10,>=10 (total),13.89,
EL,2024,GE10,>=10 (total),9.81,
ES,2024,GE10,>=10 (total),11.31,
EU27_2020,2024,GE10,>=10 (total),13.48,
FI,2024,GE10,>=10 (total),24.37,
FR,2024,GE10,>=10 (total),9.91,
HR,2024,GE10,>=10 (total),11.76,
HU,2024,GE10,>=10 (total),7.41,
IE,2024,GE10,>=10 (total),14.9,
IT,2024,GE10,>=10 (total),8.2,
LT,2024,GE10,>=10 (total),8.76,
LU,2024,GE10,>=10 (total),23.73,
LV,2024,GE10,>=10 (total),8.83,
MT,2024,GE10,>=10 (total),17.3,
NL,2024,GE10,>=10 (total),23.06,
PL,2024,GE10,>=10 (total),5.9,
PT,2024,GE10,>=10 (total),8.63,
RO,2024,GE10,>=10 (total),3.07,
SE,2024,GE10,>=10 (total),25.09,
SI,2024,GE10,>=10 (total),20.89,
SK,2024,GE10,>=10 (total),10.78,
AT,2024,GE250,Grandes (>=250),49.94,
BE,2024,GE250,Grandes (>=250),66.27,
BG,2024,GE250,Grandes (>=250),20.19,
CY,2024,GE250,Grandes (>=250),34.91,
CZ,2024,GE250,Grandes (>=250),40.48,
DE,2024,GE250,Grandes (>=250),48.2,
DK,2024,GE250,Grandes (>=250),63.39,
EE,2024,GE250,Grandes (>=250),38.99,
EL,2024,GE250,Grandes (>=250),24.27,
ES,2024,GE250,Grandes (>=250),43.96,
EU27_2020,2024,GE250,Grandes (>=250),41.17,
FI,2024,GE250,Grandes (>=250),70.4,
FR,2024,GE250,Grandes (>=250),32.74,
HR,2024,GE250,Grandes (>=250),28.36,
HU,2024,GE250,Grandes (>=250),23.46,
IE,2024,GE250,Grandes (>=250),50.84,
IT,2024,GE250,Grandes (>=250),32.5,
LT,2024,GE250,Grandes (>=250),31.21,
LU,2024,GE250,Grandes (>=250),45.6,
LV,2024,GE250,Grandes (>=250),33.33,
MT,2024,GE250,Grandes (>=250),46.74,
NL,2024,GE250,Grandes (>=250),54.07,
PL,2024,GE250,Grandes (>=250),32.95,
PT,2024,GE250,Grandes (>=250),41.89,
RO,2024,GE250,Grandes (>=250),11.26,
SE,2024,GE250,Grandes (>=250),56.34,
SI,2024,GE250,Grandes (>=250),59.7,
SK,2024,GE250,Grandes (>=250),29.1,
ES,2025,0-9,Micro (0-9),10.08,
PT,2025,0-9,Micro (0-9),,
SE,2025,0-9,Micro (0-9),17.12,
AT,2025,10-49,Pequenas (10-49),26.18,
BE,2025,10-49,Pequenas (10-49),28.82,
BG,2025,10-49,Pequenas (10-49),7.17,
CY,2025,10-49,Pequenas (10-49),7.72,
CZ,2025,10-49,Pequenas (10-49),13.38,
DE,2025,10-49,Pequenas (10-49),23.06,
DK,2025,10-49,Pequenas (10-49),37.45,
EE,2025,10-49,Pequenas (10-49),20.74,
EL,2025,10-49,Pequenas (10-49),7.33,
ES,2025,10-49,Pequenas (10-49),17.17,
EU27_2020,2025,10-49,Pequenas (10-49),17.0,
FI,2025,10-49,Pequenas (10-49),33.51,
FR,2025,10-49,Pequenas (10-49),15.04,
HR,2025,10-49,Pequenas (10-49),12.77,
HU,2025,10-49,Pequenas (10-49),8.7,
IE,2025,10-49,Pequenas (10-49),16.75,
IT,2025,10-49,Pequenas (10-49),14.23,
LT,2025,10-49,Pequenas (10-49),18.06,
LU,2025,10-49,Pequenas (10-49),30.48,
LV,2025,10-49,Pequenas (10-49),9.77,
MT,2025,10-49,Pequenas (10-49),18.04,
NL,2025,10-49,Pequenas (10-49),28.76,b
PL,2025,10-49,Pequenas (10-49),5.79,
PT,2025,10-49,Pequenas (10-49),9.43,
RO,2025,10-49,Pequenas (10-49),4.13,
SE,2025,10-49,Pequenas (10-49),30.74,
SI,2025,10-49,Pequenas (10-49),18.29,
